ADM1/1ºSEM2017-TÉCNICO
CAMISETAS
;PP;6
;P;7
;M;6
;G;4
;GG;1
;EX-G;1
BABYLOOK
;PP;
;P;6
;M;3
;G;2
;GG;1
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

ADM1/2017-ETIM
CAMISETAS
;PP;1
;P;
;M;
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;1
;M;1
;G;1
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;1
;G;
;GG;
;EX-G;

ADM2/1ºSEM2017-TÉCNICO
CAMISETAS
;PP;
;P;
;M;
;G;
;GG;1
;EX-G;1
BABYLOOK
;PP;
;P;2
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

ADM2/2017-ETIM
CAMISETAS
;PP;1
;P;1
;M;2
;G;1
;GG;3
;EX-G;
BABYLOOK
;PP;
;P;1
;M;1
;G;1
;GG;4
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

ADM3/1ºSEM2017-TÉCNICO
CAMISETAS
;PP;1
;P;5
;M;
;G;2
;GG;1
;EX-G;2
BABYLOOK
;PP;
;P;4
;M;
;G;
;GG;
;EX-G;1
REGATA
;PP;
;P;
;M;1
;G;1
;GG;
;EX-G;

ADM3/2017-ETIM
CAMISETAS
;PP;
;P;
;M;2
;G;1
;GG;
;EX-G;
BABYLOOK
;PP;
;P;1
;M;2
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

INFO1/2017-ETIM
CAMISETAS
;PP;
;P;3
;M;10
;G;1
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;1
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

INFO2/2017-ETIM
CAMISETAS
;PP;
;P;
;M;8
;G;1
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;1
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

INFO3/2017-ETIM
CAMISETAS
;PP;
;P;1
;M;
